IAU Name,Designation,Const.,Vmag,RA,Dec
Heze,HR 5107,Vir,3.38,203.673300,-0.595820
Kraz,HR 4786,Crv,2.65,188.596810,-23.396759
Nahn,HR 3627,Cnc,5.70,137.339722,22.045446
Okab,HR 7235,Aql,2.99,286.352533,13.863477
Piautos,HR 3268,Cnc,5.92,125.133901,24.022311
Tarf,HR 3249,Cnc,3.53,124.128838,9.185544
Ukdah,HR 3845,Hya,3.90,144.964008,-1.142810
Acamar,HR 897,Eri,2.88,44.565311,-40.304672
Achernar,HR 472,Eri,0.45,24.428523,-57.236753
Achird,HR 219,Cas,3.46,12.276213,57.815187
Acrab,HR 5984,Sco,2.56,241.359300,-19.805453
Acrux,HR 4730,Cru,1.33,186.649563,-63.099093
Acubens,HR 3572,Cnc,4.26,134.621740,11.857687
Adhafera,HR 4031,Leo,3.43,154.172567,23.417312
Adhara,HR 2618,CMa,1.50,104.656453,-28.972086
Adhil,HR 390,And,4.87,20.585080,45.528778
Ain,HR 1409,Tau,3.53,67.154163,19.180435
Ainalrami,HR 7116,Sgr,4.86,283.542404,-22.744840
Aladfar,HR 7298,Lyr,4.43,288.439531,39.145970
Albaldah,HR 7264,Sgr,2.88,287.440971,-21.023615
Albali,HR 7950,Aqr,3.78,311.918969,-9.495775
Albireo,HR 7417,Cyg,3.05,292.680351,27.959692
Alchiba,HR 4623,Crv,4.02,182.103402,-24.728875
Alcor,HR 5062,UMa,3.99,201.306403,54.987954
Alcyone,HR 1165,Tau,2.85,56.871152,24.105136
Aldebaran,HR 1457,Tau,0.87,68.980163,16.509302
Alderamin,HR 8162,Cep,2.45,319.644885,62.585574
Aldhanab,HR 8353,Gru,3.00,328.482192,-37.364855
Aldhibah,HR 6396,Dra,3.17,257.196650,65.714684
Aldulfin,HR 7852,Del,4.03,308.303216,11.303261
Alfirk,HR 8238,Cep,3.23,322.164987,70.560715
Algedi,HR 7754,Cap,3.58,304.513566,-12.544852
Algenib,HR 39,Peg,2.83,3.308963,15.183594
Algieba,HR 4057,Leo,2.61,154.993144,19.841489
Algol,HR 936,Per,2.09,47.042215,40.955648
Algorab,HR 4757,Crv,2.94,187.466063,-16.515431
Alhena,HR 2421,Gem,1.93,99.427960,16.399280
Alioth,HR 4905,UMa,1.76,193.507290,55.959823
Aljanah,HR 7949,Cyg,2.48,311.552843,33.970257
Alkaid,HR 5191,UMa,1.85,206.885157,49.313267
Alkalurops,HR 5733,Boo,4.31,231.122618,37.377169
Alkaphrah,HR 3594,UMa,4.16,135.906365,47.156525
Alkarab,HR 8905,Peg,4.42,351.344931,23.404100
Alkes,HR 4287,Crt,4.08,164.943604,-18.298783
Almaaz,HR 1605,Aur,3.03,75.492219,43.823307
Almach,HR 603,And,2.10,30.974804,42.329725
Alnair,HR 8425,Gru,1.73,332.058270,-46.960974
Alnasl,HR 6746,Sgr,2.98,271.452025,-30.424100
Alnilam,HR 1903,Ori,1.69,84.053389,-1.201919
Alnitak,HR 1948,Ori,1.74,85.189694,-1.942574
Alniyat,HR 6084,Sco,2.90,245.297149,-25.592792
Alphard,HR 3748,Hya,1.99,141.896847,-8.658602
Alphecca,HR 5793,CrB,2.22,233.671950,26.714693
Alpheratz,HR 15,And,2.07,2.096916,29.090431
Alrakis,HR 6370,Dra,5.55,256.333807,54.470078
Alrescha,HR 596,Psc,3.82,30.511772,2.763735
Alsafi,HR 7462,Dra,4.67,293.089960,69.661176
Alsciaukat,HR 3275,Lyn,4.25,125.708792,43.188131
Alsephina,HR 3485,Vel,1.99,131.175944,-54.708819
Alshain,HR 7602,Aql,3.71,298.828304,6.406763
Alshat,HR 7773,Cap,4.77,305.165898,-12.759079
Altair,HR 7557,Aql,0.76,297.695827,8.868321
Altais,HR 7310,Dra,3.07,288.138750,67.661541
Alterf,HR 3773,Leo,4.32,142.930115,22.967970
Aludra,HR 2827,CMa,2.45,111.023760,-29.303106
Alula Australis,HR 4375,UMa,4.41,169.545423,31.529161
